date,Impact energy (kt),Velocity (kps),altitude (km),coord
1/24/2020,0.092,21.2,32,"(('28.0', 'N'), ('35.8', 'W'))"
1/21/2020,0.098,27.4,43.3,"(('33.1', 'N'), ('34.3', 'E'))"
1/17/2020,0.29,15.5,14.5,"(('19.4', 'N'), ('66.0', 'W'))"
1/16/2020,0.19,12.9,27.8,"(('71.7', 'S'), ('116.4', 'W'))"
1/15/2020,0.55,0,31.5,"(('23.7', 'S'), ('125.2', 'W'))"
1/6/2020,0.15,0,0,"(('70.4', 'S'), ('17.5', 'W'))"
12/21/2019,0.21,22.2,35.5,"(('56.5', 'N'), ('147.6', 'W'))"
12/11/2019,0.13,17.8,37,"(('47.7', 'N'), ('161.7', 'E'))"
12/6/2019,0.15,0,19.5,"(('3.3', 'S'), ('37.7', 'W'))"
12/3/2019,0.14,0,61.5,"(('5.6', 'N'), ('52.2', 'W'))"
11/28/2019,0.095,13,35,"(('35.7', 'N'), ('31.7', 'W'))"
11/28/2019,0.092,0,0,"((None, None), (None, None))"
11/28/2019,0.089,24.7,22.5,"(('22.1', 'S'), ('25.7', 'E'))"
11/5/2019,0.33,27.4,38,"(('10.4', 'S'), ('143.3', 'W'))"
10/22/2019,0.095,0,40.7,"(('12.0', 'N'), ('76.0', 'W'))"
10/10/2019,0.57,14.1,47.3,"(('44.3', 'N'), ('122.9', 'E'))"
9/28/2019,0.082,20.4,52,"(('12.5', 'S'), ('107.2', 'W'))"
9/27/2019,0.12,0,0,"(('25.7', 'N'), ('28.4', 'W'))"
9/14/2019,0.33,15.9,38,"(('38.6', 'S'), ('33.5', 'W'))"
9/13/2019,0.14,13.5,27.4,"(('18.6', 'S'), ('126.9', 'E'))"
9/12/2019,0.48,18.5,42,"(('54.5', 'N'), ('9.2', 'E'))"
9/12/2019,0.19,17.2,30.6,"(('24.9', 'N'), ('47.8', 'W'))"
8/24/2019,0.13,13.4,39.8,"(('21.9', 'N'), ('130.4', 'W'))"
8/22/2019,0.073,0,30.2,"(('24.4', 'S'), ('92.9', 'W'))"
8/16/2019,0.089,14.9,36,"(('38.9', 'N'), ('7.0', 'E'))"
7/23/2019,0.69,16.1,30.6,"(('44.6', 'N'), ('147.6', 'W'))"
6/30/2019,0.11,42.3,59,"(('21.2', 'N'), ('129.5', 'W'))"
6/30/2019,0.076,0,0,"(('2.5', 'S'), ('168.7', 'E'))"
6/22/2019,6,14.9,25,"(('14.9', 'N'), ('66.2', 'W'))"
6/20/2019,0.098,0,37,"(('7.3', 'N'), ('67.6', 'W'))"
5/26/2019,0.14,17.5,24.4,"(('56.6', 'N'), ('25.3', 'W'))"
5/25/2019,0.16,15.8,29.2,"(('19.2', 'S'), ('89.4', 'E'))"
5/22/2019,0.29,0,32.6,"(('10.8', 'N'), ('37.3', 'W'))"
5/21/2019,1.6,11.5,31.5,"(('38.8', 'S'), ('137.5', 'E'))"
5/19/2019,0.11,15.2,33.3,"(('23.6', 'S'), ('132.8', 'E'))"
5/12/2019,0.076,0,0,"(('6.2', 'N'), ('57.1', 'W'))"
5/4/2019,0.079,0,26.5,"(('28.4', 'N'), ('88.3', 'W'))"
4/22/2019,0.37,11.4,33.3,"(('48.8', 'S'), ('67.8', 'E'))"
4/14/2019,0.1,15.9,30.6,"(('18.3', 'N'), ('74.6', 'W'))"
4/6/2019,0.22,18.1,41.5,"(('56.5', 'N'), ('94.9', 'E'))"
4/4/2019,0.098,0,0,"(('35.3', 'N'), ('93.9', 'W'))"
3/27/2019,0.079,0,0,"(('41.8', 'S'), ('7.4', 'W'))"
3/19/2019,0.073,16.2,28.7,"(('24.0', 'S'), ('140.3', 'E'))"
3/15/2019,0.15,14.4,31.5,"(('63.7', 'N'), ('95.7', 'E'))"
2/18/2019,4.2,20.8,26,"(('15.5', 'S'), ('25.3', 'E'))"
2/1/2019,1.4,16.3,23.7,"(('22.5', 'N'), ('83.8', 'W'))"
1/29/2019,0.089,0,0,"((None, None), (None, None))"
1/22/2019,0.12,11.6,42.5,"(('18.0', 'N'), ('6.5', 'E'))"
12/23/2018,0.27,16.5,31.8,"(('47.5', 'S'), ('174.4', 'W'))"
12/18/2018,49,13.6,26,"(('56.9', 'N'), ('172.4', 'E'))"
11/20/2018,1.1,17.4,27.4,"(('25.3', 'N'), ('6.7', 'W'))"
11/17/2018,0.61,19.1,32.5,"(('47.3', 'N'), ('172.9', 'W'))"
11/15/2018,0.073,0,0,"(('42', 'N'), ('57', 'W'))"
11/14/2018,0.13,0,37,"(('37.6', 'S'), ('83.5', 'E'))"
10/24/2018,0.16,0,33.3,"(('6.7', 'S'), ('148.6', 'W'))"
10/22/2018,0.092,0,0,"((None, None), (None, None))"
10/5/2018,0.13,14.7,31.5,"(('39.8', 'S'), ('31.7', 'W'))"
9/25/2018,1.9,16.5,33,"(('23.5', 'S'), ('56.8', 'E'))"
9/25/2018,0.17,12.5,40.7,"(('34.3', 'S'), ('44.9', 'E'))"
9/20/2018,0.26,11.1,0,"(('67.3', 'S'), ('75.1', 'E'))"
9/17/2018,0.43,0,0,"(('6.8', 'S'), ('27.8', 'W'))"
9/13/2018,0.14,0,0,"(('42.5', 'N'), ('50.1', 'W'))"
